编号,句子,实体1a,实体1b
2002,俄国家杜马主席沃洛金12日在议会强调，“俄罗斯主权互联网”法案的任务“不是关闭，也不是切断互联网，而是要确保互联网安全”。俄罗斯《商业咨询日报》报道称，俄通信和大众传媒部等政府部门均支持这一法案，但提出了各自的意见。沃洛金要求在二读通过前，对法案进行详细讨论和修改。,俄罗斯,法案
2003,法案草案在国家杜马还需进行两轮投票，然后交至议会上院，最后经普京签署后才能成为法律。路透社称，虽然尚需修订，但其作为俄罗斯维护“网络主权”的努力，预计能获通过。俄《商业咨询日报》报道说，“断网”测试有望于今年4月1日前进行，具体日期尚未确定。俄政府计划为实施该法案拨款200亿卢布(约合21亿元人民币)。,俄政府,法案
2006,【环球时报综合报道】俄罗斯考虑测试断开与全球互联网的连接，以检验其应对外部互联网威胁的能力。包含这一计划的法案12日在俄国家杜马一读通过。俄罗斯一直警惕，西方可能将“断网”作为对俄制裁。美国去年在国家安全战略中睚眦必报的威胁，似乎让人觉得这种可能性在增加。事实上，为维护“网络主权”，俄罗斯已经准备多年。但对于这项计划是否能够真正实施，外界有很多不同看法。有分析认为，互联网协议的复杂性和基础设施在全球的分散性，令切断与世界的联系比想象中难。但正因为如此，一些国家联合起来在互联网上“孤立”俄罗斯，也并不容易实现。,俄罗斯,互联网威胁
2007,“这也许是俄罗斯无可奈何的选择”，德国新闻电视台13日评论说，在冷战结束后，俄罗斯仍被美国视作对手。即使进入新千年，俄罗斯也还在遭美国严厉制裁。互联网将是美国未来制裁俄罗斯的新领域。瘫痪俄罗斯的互联网，将严重影响其金融、军事等领域。美国彭博社称，去年11月，北约加大了针对俄罗斯的年度网络战演习力度。美欧都威胁对俄的网络攻击予以制裁。,北约,网络战
2008,复旦大学网络空间治理研究中心主任沈逸则认为，还有另一种可能。他13日对《环球时报》记者说，从俄罗斯的角度来说，这是一种“应急预案”。现在进行“断网”测试是要告诉美国，俄罗斯做好了最坏的准备。某种程度上，这是以比较低的成本展示出一种姿态。,俄罗斯,断网测试
2009,也有专家对西方能否在互联网“孤立”俄罗斯提出质疑。美国Axios新闻网称，曾在奥巴马政府担任网络安全协调员的迈克尔·丹尼尔说，技术上讲，很难想象一些国家联合起来完全孤立俄罗斯，互联网的分散性让这种想法很难实现。沈逸对《环球时报》记者说，尽管美国政府仍可管辖全球顶级根服务器，但这已从行政管辖变成司法管辖。从逻辑上说，在最极端的情况下，美国也许可以通过某种方式对网络访问进行限制。但这样可能导致现有的互联网遭到弃用，因为没有人会容忍这样的事发生。,美国,网络访问
2012,【环球时报报道 记者 赵觉珵】据新加坡《联合早报》13日报道，在中国第35次南极科考期间，中国极地固定翼飞机“雪鹰601”顺利完成对东南极冰盖分冰岭、埃默里冰架南缘等重要航线的探测，标志着中国科研人员具备了独立开展南极航空科考能力。,极地固定翼飞机,东南极冰盖冰岭
2013,“今年是‘雪鹰601’固定翼飞机航空科学考察最艰难的一年，任务设定上创造了单次飞行时间和任务难度最大的历史。两次冰脊B的飞行和两次埃默里冰架南缘的飞行，在国际上也堪称同类科考飞行的极限”，第35次南极科考队固定翼飞机队书记崔祥斌介绍称。“雪鹰601”是中国首架极地固定翼飞机，依托该飞机，本次科考在南极冰脊B、伊丽莎白公主地、埃默里冰架南缘等区域，开展了大范围、详细的航空冰雷达、航空重力和磁力观测。,“雪鹰601”,极地固定翼飞机
2014,一位了解南极科考的极地专家13日对《环球时报》记者表示，此次“雪鹰601”飞行的范围是我国南极科考传统作业区域，自2007年-2008年起，我国就开始考察连接南极普利兹湾-埃默里冰架-冰穹A的大断面（也称“PANDA断面”），这也是一条研究南极冰盖科学的重要通道。通过对该地区的气、冰、海等因素的综合性研究，对研究气候变化有重要意义。,“雪鹰601”,南极科考
2015,《联合早报》援引中国第35次南极科学考察队领队、中国极地研究中心副主任孙波的话称，“这对查清这些区域的地质、环境等问题有重要的科学意义，对寻找地球上最古老冰芯，解决东南极缝合带走向和地质演化、冰架海底地形、埃默里冰架动力过程和稳定性等科学问题有重要的科学价值。”“雪鹰601”飞机在世界上首次完成东南极冰盖关键区域的航空科学探测任务，有助于揭示冰盖演化与稳定性机制，查寻地球古气候环境变化的“源代码”。,“雪鹰601”,航空科学探测任务
